codigo_cnes,nome_fantasia,nome_razao_social,codigo_tipo_unidade,bairro_estabelecimento,endereco_estabelecimento,numero_telefone_estabelecimento,descricao_turno_atendimento,descricao_esfera_administrativa,estabelecimento_faz_atendimento_ambulatorial_sus,estabelecimento_possui_atendimento_hospitalar,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,descricao_tipo_unidade,distrito
5314356,APAE BRUMADINHO,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS,36,PROGRESSO,RUA ITAGUA,(31)35712470,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14372828318944,-44.21344757080078,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
5364167,CISMEP CEC BRUMADINHO,INSTITUICAO DE COOPERACAO INTERMUNICIPAL DO MEDIO PARAOPEBA,36,CENTRO,RUA BARAO DO RIO BRANCO,(31)35711666,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.14282174913634,-44.20003652572632,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
5489768,PREVENT OCUPACIONAL SAUDE E SEGURANCA DO TRABALHO,PREVENT OCUPACIONAL MEDICINA E SEGURANCA DO TRABALHO S S LTD,36,CENTRO,DOUTOR VICTOR DE FREITAS,31 988595841,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1425679,-44.200837,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
5662222,ORTODONTIA CARRARA,CLINICA ORTODONTICA CARRARA LTDA,22,CENTRO,RUA ITAGUA,(31)35712090,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14235840747753,-44.20666694641113,CONSULTORIO ISOLADO,Brumadinho
5678129,UNIDADE DE SAUDE DA FAMILIA PALHANO,PREFEITURA MUNICIPAL DE BRUMADINHO,2,PALHANO,AVENIDA NOSSA SENHORA DA CONCEICAO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.1944369,-44.0194587,CENTRO DE SAUDE/UNIDADE BASICA,Piedade do Paraopeba
5912695,GLENDA FIGUEIREDO REIS,GLENDA FIGUEIREDO REIS,22,CENTRO,RUA JOAO FERNANDES DO CARMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.144231910945575,-44.19952154159546,CONSULTORIO ISOLADO,Brumadinho
5912717,CINTIA FIGUEIREDO REIS,CINTIA FIGUEIREDO REIS,22,CENTRO,RUA JOAO FERNANDES DO CARMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.144090895337538,-44.19967174530029,CONSULTORIO ISOLADO,Brumadinho
5920787,QUALISAUDE,QUALISAUDE BRUMADINHO LTDA,36,CENTRO,RUA DR VICTOR DE FREITAS,35712904,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.1425581,-44.2024407,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
5976723,CHEP CENTRO HOLISTICO DE ESTUDOS PSIQUICOS,CHEP CENTRO HOLISTICO DE ESTUDOS PSIQUICOS LTDA,36,SILVA PRADO,RUA REYNALDO PINTO VIEIRA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14870405418128,-44.202589988708496,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
6004229,VANIA GONZAGA DE BARROS BRUGNARA,VANIA GONZAGA DE BARROS BRUGNARA,22,CENTRO,RUA PRESIDENTE VARGAS,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14258000583365,-44.20128107070923,CONSULTORIO ISOLADO,Brumadinho
