aba_origem,variavel,variavel_num,tipo,tema,descricao
Dicionário não PCT,V00130,130,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza fonte, nascente ou mina"
Dicionário não PCT,V00131,131,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza carro-pipa"
Dicionário não PCT,V00132,132,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza água da chuva armazenada"
Dicionário não PCT,V00133,133,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza rios, açudes, córregos, lagos e igarapés"
Dicionário não PCT,V00134,134,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza outra forma de abastecimento de água"
Dicionário não PCT,V00135,135,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza rede geral de distribuição"
Dicionário não PCT,V00136,136,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza poço profundo ou artesiano"
Dicionário não PCT,V00137,137,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza poço raso, freático ou cacimba"
Dicionário não PCT,V00138,138,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza fonte, nascente ou mina"
Dicionário não PCT,V00139,139,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza carro-pipa"
Dicionário não PCT,V00140,140,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza água da chuva armazenada"
Dicionário não PCT,V00141,141,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza rios, açudes, córregos, lagos e igarapés"
Dicionário não PCT,V00142,142,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza outra forma de abastecimento de água"
Dicionário não PCT,V00143,143,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é branca"
Dicionário não PCT,V00144,144,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é preta"
Dicionário não PCT,V00145,145,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é amarela"
Dicionário não PCT,V00146,146,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é parda"
Dicionário não PCT,V00147,147,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é indígena"
Dicionário não PCT,V00148,148,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é branca"
Dicionário não PCT,V00149,149,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é preta"
Dicionário não PCT,V00150,150,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é amarela"
Dicionário não PCT,V00151,151,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é parda"
Dicionário não PCT,V00152,152,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é indígena"
Dicionário não PCT,V00153,153,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é branca"
Dicionário não PCT,V00154,154,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é preta"
Dicionário não PCT,V00155,155,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é amarela"
Dicionário não PCT,V00156,156,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é parda"
Dicionário não PCT,V00157,157,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é indígena"
Dicionário não PCT,V00158,158,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Cor ou raça da pessoa responsável pelo domicílio é branca"
