Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,Homem - BrAm,41107,2,411,41,F
310900,Município,2024,Número de Empregos,Homem - BrAm,41204,50,412,41,F
310900,Município,2024,Número de Empregos,Homem - BrAm,42111,150,421,42,F
310900,Município,2024,Número de Empregos,Homem - BrAm,42120,22,421,42,F
310900,Município,2024,Número de Empregos,Homem - BrAm,42138,2,421,42,F
310900,Município,2024,Número de Empregos,Homem - BrAm,42995,15,429,42,F
310900,Município,2024,Número de Empregos,Homem - BrAm,43291,7,432,43,F
310900,Município,2024,Número de Empregos,Homem - BrAm,43304,11,433,43,F
310900,Município,2024,Número de Empregos,Homem - BrAm,43991,40,439,43,F
310900,Município,2024,Número de Empregos,Homem - BrAm,45111,2,451,45,G
310900,Município,2024,Número de Empregos,Homem - BrAm,45200,2,452,45,G
310900,Município,2024,Número de Empregos,Homem - BrAm,45307,10,453,45,G
310900,Município,2024,Número de Empregos,Homem - BrAm,46354,1,463,46,G
310900,Município,2024,Número de Empregos,Homem - BrAm,46371,3,463,46,G
310900,Município,2024,Número de Empregos,Homem - BrAm,46494,1,464,46,G
310900,Município,2024,Número de Empregos,Homem - BrAm,46711,1,467,46,G
310900,Município,2024,Número de Empregos,Homem - BrAm,46893,10,468,46,G
310900,Município,2024,Número de Empregos,Homem - BrAm,46915,6,469,46,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47113,47,471,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47121,3,471,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47130,3,471,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47211,5,472,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47229,6,472,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47237,2,472,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47245,2,472,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47296,2,472,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47318,10,473,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47415,1,474,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47431,3,474,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47440,32,474,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47512,1,475,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47539,1,475,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47547,10,475,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47610,3,476,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47717,18,477,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47725,1,477,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47741,1,477,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47814,3,478,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47822,2,478,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47849,2,478,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,47890,8,478,47,G
310900,Município,2024,Número de Empregos,Homem - BrAm,49213,6,492,49,H
310900,Município,2024,Número de Empregos,Homem - BrAm,49248,1,492,49,H
310900,Município,2024,Número de Empregos,Homem - BrAm,49299,41,492,49,H
310900,Município,2024,Número de Empregos,Homem - BrAm,49302,107,493,49,H
310900,Município,2024,Número de Empregos,Homem - BrAm,52125,2,521,52,H
310900,Município,2024,Número de Empregos,Homem - BrAm,52231,1,522,52,H
310900,Município,2024,Número de Empregos,Homem - BrAm,52508,35,525,52,H
310900,Município,2024,Número de Empregos,Homem - BrAm,53105,5,531,53,H
310900,Município,2024,Número de Empregos,Homem - BrAm,55108,20,551,55,I
310900,Município,2024,Número de Empregos,Homem - BrAm,56112,36,561,56,I
310900,Município,2024,Número de Empregos,Homem - BrAm,56201,10,562,56,I
310900,Município,2024,Número de Empregos,Homem - BrAm,61108,5,611,61,J
310900,Município,2024,Número de Empregos,Homem - BrAm,64221,11,642,64,K
310900,Município,2024,Número de Empregos,Homem - BrAm,64239,3,642,64,K
310900,Município,2024,Número de Empregos,Homem - BrAm,64247,6,642,64,K
310900,Município,2024,Número de Empregos,Homem - BrAm,68102,1,681,68,L
310900,Município,2024,Número de Empregos,Homem - BrAm,68218,3,682,68,L
310900,Município,2024,Número de Empregos,Homem - BrAm,69125,7,691,69,M
310900,Município,2024,Número de Empregos,Homem - BrAm,69206,5,692,69,M
310900,Município,2024,Número de Empregos,Homem - BrAm,70204,1,702,70,M
310900,Município,2024,Número de Empregos,Homem - BrAm,71120,18,711,71,M
310900,Município,2024,Número de Empregos,Homem - BrAm,71197,2,711,71,M
310900,Município,2024,Número de Empregos,Homem - BrAm,73190,3,731,73,M
310900,Município,2024,Número de Empregos,Homem - BrAm,74901,5,749,74,M
310900,Município,2024,Número de Empregos,Homem - BrAm,75001,2,750,75,M
310900,Município,2024,Número de Empregos,Homem - BrAm,77195,6,771,77,N
310900,Município,2024,Número de Empregos,Homem - BrAm,77322,4,773,77,N
310900,Município,2024,Número de Empregos,Homem - BrAm,81125,79,811,81,N
310900,Município,2024,Número de Empregos,Homem - BrAm,82113,4,821,82,N
310900,Município,2024,Número de Empregos,Homem - BrAm,82997,6,829,82,N
310900,Município,2024,Número de Empregos,Homem - BrAm,84116,376,841,84,O
310900,Município,2024,Número de Empregos,Homem - BrAm,85139,14,851,85,P
310900,Município,2024,Número de Empregos,Homem - BrAm,85201,6,852,85,P
310900,Município,2024,Número de Empregos,Homem - BrAm,85333,30,853,85,P
310900,Município,2024,Número de Empregos,Homem - BrAm,85937,2,859,85,P
310900,Município,2024,Número de Empregos,Homem - BrAm,85996,6,859,85,P
310900,Município,2024,Número de Empregos,Homem - BrAm,86101,14,861,86,Q
310900,Município,2024,Número de Empregos,Homem - BrAm,86305,3,863,86,Q
310900,Município,2024,Número de Empregos,Homem - BrAm,86402,3,864,86,Q
310900,Município,2024,Número de Empregos,Homem - BrAm,87204,1,872,87,Q
310900,Município,2024,Número de Empregos,Homem - BrAm,91023,84,910,91,R
