Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito),Desvio Padrão
310900,Município,2024,Média do Salário Real,Homem - BrAm,01547,2748.236666666666,015,01,A,1091.6019274595174
310900,Município,2024,Média do Salário Real,Homem - BrAm,01610,2159.6075,016,01,A,480.63750040218156
310900,Município,2024,Média do Salário Real,Homem - BrAm,01628,2148.2425000000003,016,01,A,310.9185422126939
310900,Município,2024,Média do Salário Real,Homem - BrAm,02306,3907.5114285714294,023,02,A,1640.141230569577
310900,Município,2024,Média do Salário Real,Homem - BrAm,07103,7864.904008207923,071,07,B,7303.23798784891
310900,Município,2024,Média do Salário Real,Homem - BrAm,08100,3055.33,081,08,B,870.4225458772472
310900,Município,2024,Média do Salário Real,Homem - BrAm,09904,3836.453469387755,099,09,B,2382.8650204546757
310900,Município,2024,Média do Salário Real,Homem - BrAm,10121,2140.668888888889,101,10,C,753.5795672212281
310900,Município,2024,Média do Salário Real,Homem - BrAm,10538,2210,105,10,C,636.3961030678928
310900,Município,2024,Média do Salário Real,Homem - BrAm,10911,1748.83,109,10,C,165.67263111328916
310900,Município,2024,Média do Salário Real,Homem - BrAm,10945,1979,109,10,C,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,10953,1500,109,10,C,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,11135,2000,111,11,C,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,11216,3545.799333333333,112,11,C,2634.6393439424537
310900,Município,2024,Média do Salário Real,Homem - BrAm,14134,2140.6299999999997,141,14,C,695.2181503672067
310900,Município,2024,Média do Salário Real,Homem - BrAm,16226,1791.3866666666665,162,16,C,370.34744839587233
310900,Município,2024,Média do Salário Real,Homem - BrAm,18300,1412,183,18,C,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,23303,1644.7220000000002,233,23,C,158.61281937472774
310900,Município,2024,Média do Salário Real,Homem - BrAm,23915,2648,239,23,C,152.4204710660612
310900,Município,2024,Média do Salário Real,Homem - BrAm,24512,3824.5499999999997,245,24,C,3088.0377730850378
